Length,Count,IDs
10KM,8,"1002, 1145, 1170, 1223, 1229, 1260, 74, 808"
12KM,1,175
14KM,1,1214
17.5KM,3,"1072, 1219, 566"
17.6KM,1,196
19KM,1,711
21KM,4,"1076, 66, 69, 96"
22KM,0,1003
23KM,1,828
24KM,2,"1005, 554"
27KM,1,1167
28KM,1,748
30.6KM,1,557
32.7KM,2,"738, 924"
32KM,1,13
37KM,1,36
42KM,6,"222, 227, 655, 837, 963, 974"
50KM,3,"210, 61, 679"
53KM,1,237
55KM,1,487
5KM,4,"1110, 1156, 185, 261"
63KM,1,3
8.3KM,1,573
Backyard,3,"317, 360, 469"
Puffin,4,"110, 375, 585, 617"
Unknown,4,"127, 437, 525, 548"
